TP9,AF7,AF8,TP10,label
820.3663004,851.7948718,856.6300366,834.0659341,0
830.03663,845.7509158,860.6593407,848.1684982,0
827.2161172,850.1831502,853.8095238,842.9304029,0
830.4395604,853.003663,853.8095238,844.5421245,0
855.8241758,851.7948718,861.8681319,869.9267399,0
831.2454212,852.6007326,864.2857143,848.5714286,0
812.3076923,859.047619,851.7948718,820.7692308,0
879.5970696,847.3626374,887.6556777,922.3076923,0
824.7985348,852.6007326,854.6153846,820.7692308,0
842.9304029,815.1282051,852.1978022,846.5567766,0
839.7069597,850.1831502,858.6446886,841.7216117,0
841.7216117,862.6739927,862.6739927,850.989011,0
839.7069597,827.2161172,861.8681319,843.3333333,0
823.992674,845.3479853,849.7802198,832.4542125,0
821.5750916,856.2271062,878.3882784,848.1684982,0
848.974359,795.7875458,861.4652015,852.1978022,0
773.6263736,808.2783883,906.996337,816.7399267,0
832.0512821,871.5384615,853.003663,837.2893773,0
834.8717949,870.7326007,856.2271062,845.3479853,0
831.6483516,863.8827839,853.8095238,834.0659341,0
851.3919414,852.6007326,853.003663,853.4065934,0
833.6630037,870.3296703,857.8388278,844.9450549,0
834.0659341,852.6007326,850.1831502,831.2454212,0
812.3076923,855.8241758,865.4945055,828.8278388,0
844.9450549,831.2454212,854.6153846,846.5567766,0
835.6776557,860.2564103,853.003663,848.974359,0
845.7509158,848.974359,856.2271062,844.1391941,0
798.6080586,830.8424908,866.3003663,804.6520147,0
838.4981685,869.5238095,851.7948718,842.5274725,0
838.0952381,854.6153846,855.018315,841.7216117,0
844.9450549,853.003663,855.8241758,854.6153846,0
833.6630037,854.6153846,874.3589744,845.3479853,0
840.5128205,865.0915751,846.5567766,833.2600733,0
850.5860806,864.2857143,856.2271062,847.3626374,0
873.5531136,872.3443223,840.5128205,871.1355311,0
849.3772894,864.2857143,851.3919414,840.5128205,0
848.5714286,834.8717949,867.9120879,855.4212454,0
842.1245421,866.7032967,854.2124542,841.7216117,0
837.2893773,863.4798535,858.2417582,840.5128205,0
829.6336996,852.6007326,883.6263736,852.6007326,0
829.6336996,865.4945055,854.6153846,829.6336996,0
838.4981685,868.7179487,856.2271062,850.1831502,0
834.4688645,851.7948718,859.4505495,851.7948718,0
837.6923077,834.8717949,871.1355311,850.1831502,0
834.4688645,856.6300366,852.6007326,839.3040293,0
821.5750916,848.1684982,850.5860806,828.8278388,0
830.8424908,859.047619,854.6153846,834.8717949,0
